Block number: 8; Target: 94499020;    Solution: 73489074
0: 3;         1: 6;         


Block number: 7; Target: 93516309;    Solution: 94499020
0: 3;         1: 5;         


Block number: 6; Target: 69439314;    Solution: 93516309
0: 3;         1: 4;         


Block number: 5; Target: 89962162;    Solution: 69439314
0: 3;         1: 3;         


Block number: 4; Target: 76979428;    Solution: 89962162
0: 3;         1: 2;         


Block number: 3; Target: 16836181;    Solution: 76979428
0: 2;         1: 2;         


Block number: 2; Target: 60009503;    Solution: 16836181
0: 2;         1: 1;         


Block number: 1; Target: 37757690;    Solution: 60009503
0: 2;         1: 0;         


A total of 8 blocks were printed
