Block number: 11; Target: 66374167;    Solution: 28461745
0: 7;         1: 5;         


Block number: 10; Target: 91821720;    Solution: 66374167
0: 6;         1: 5;         


Block number: 9; Target: 42370072;    Solution: 91821720
0: 6;         1: 4;         


Block number: 8; Target: 11009257;    Solution: 42370072
0: 5;         1: 4;         


Block number: 7; Target: 29301302;    Solution: 11009257
0: 5;         1: 3;         


Block number: 6; Target: 28783097;    Solution: 29301302
0: 5;         1: 2;         


Block number: 5; Target: 8950760;    Solution: 28783097
0: 5;         1: 1;         


Block number: 4; Target: 37380623;    Solution: 8950760
0: 4;         1: 1;         


Block number: 3; Target: 36194570;    Solution: 37380623
0: 3;         1: 1;         


Block number: 2; Target: 42657400;    Solution: 36194570
0: 3;         1: 0;         


Block number: 1; Target: 38114922;    Solution: 42657400
0: 2;         1: 0;         


A total of 11 blocks were printed
